id;name;manufacturer;sensor;resolution;pixelSize_um;sensorSize_mm;fps_max;interface;bitDepth;quantumEfficiency;mountType;cooled;price;thumbnail;docsUrl;partNumber;recommendation
cam-hik-mvcs060;HIK MV-CS060;Hikrobot;IMX174;1920x1200;3.45;7.07x4.42;163;USB3;12;78;C-mount;false;520;/icons/uc2_cctvcam_1x2.svg;https://docs.openuc2.com/cameras/hik-mvcs060;MV-CS060-10UC;Best all-rounder: high speed brightfield & live cell imaging
cam-tucsen-libra16;Tucsen Libra16;Tucsen;BSI sCMOS;5120x5120;3.76;19.25x19.25;46;USB3;16;95;C-mount;true;6500;/icons/uc2_cctvcam_1x2.svg;https://docs.openuc2.com/cameras/tucsen-libra16;Libra16;Best Quantum Efficiency: ideal for fluorescence & low-light imaging
cam-hik-mvca023;HIK MV-CA023;Hikrobot;IMX249;1920x1200;5.86;11.25x7.03;42;USB3;12;72;C-mount;false;490;/icons/uc2_cctvcam_1x2.svg;https://docs.openuc2.com/cameras/hik-mvca023;MV-CA023-10UC;Large pixels: best dynamic range for low-light brightfield
