id;name;dyeName;excitationPeak_nm;emissionPeak_nm;lightSourceType;lightSourceWavelength_nm;excitationFilterCenter_nm;excitationFilterBandwidth_nm;dichroicEdge_nm;emissionFilterCenter_nm;emissionFilterBandwidth_nm;color;commonApplications;price_filterSet
fluor-dapi;DAPI / Hoechst;DAPI;360;461;LED;405;377;50;409;447;60;#3b6cff;Nuclear staining, DNA;350
fluor-gfp;GFP / Alexa 488 / FITC;GFP;488;509;LED;488;470;40;495;525;50;#3ecf6c;Cytoskeleton, reporter genes;380
fluor-cy3;Cy3 / TRITC / mCherry;Cy3;550;570;LED;532;546;20;560;590;50;#ff8a3d;FISH, IF, RFP reporters;380
fluor-cy5;Cy5 / Alexa 647 / SiR;Cy5;649;670;LED;638;640;30;660;700;60;#a64dff;Far-red IF, SiR live dyes;420
fluor-cy7;Cy7 / IR800 (future);Cy7;750;773;LED;780;747;33;780;810;60;#3a0070;Near-IR (planned, not yet stocked);500
